Player,avg,gp-gs,ab,r,h,2b,3b,hr,rbi,tb,slg%,bb,hbp,so,gdp,ob%,sf,sh,sb-att
"Jack Bell, AM",0.25,19-3,16,7,4,1,0,1,4,8,0.5,8,1,5,1,0.5,1,0,3-3
"Jackson Mckenzie, MS",0.188,11-3,16,1,3,0,0,0,1,3,0.188,3,0,7,0,0.316,0,0,0-0
"Jett Johnston, AM",0.188,11-3,16,5,3,1,0,0,2,4,0.25,5,0,6,0,0.381,0,0,0-0
"Lukas Farris, UG",0.125,11-6,16,2,2,0,0,1,1,5,0.313,2,2,9,1,0.3,0,0,0-0
"Jd Rogers, VU",0.333,16-5,15,4,5,0,0,1,1,8,0.533,4,0,5,0,0.474,0,1,0-0
"Will Portera, UA",0.133,18-3,15,2,2,0,0,0,2,2,0.133,2,1,4,0,0.25,2,0,0-0
"Cole Edwards, AU",0.133,10-4,15,2,2,0,0,0,0,2,0.133,2,0,6,1,0.235,0,0,0-0
"Hunter High, UT",0.385,11-0,13,6,5,3,0,0,1,8,0.615,1,0,3,0,0.429,0,0,0-0
"Chris Maldonado, VU",0.154,5-5,13,3,2,0,0,0,1,2,0.154,5,2,3,0,0.45,0,0,0-0
"Ben Nippolt, LS",0.25,25-1,12,6,3,0,0,0,3,3,0.25,3,2,4,0,0.444,1,0,0-0
"Ryan Kucherak, LS",0.25,16-1,12,4,3,0,0,0,2,3,0.25,3,2,5,0,0.471,0,0,1-1
"Drew Markle, UM",0.083,18-1,12,3,1,0,0,0,0,1,0.083,2,0,2,0,0.214,0,0,1-1
"Ethan Hindle, UK",0.083,7-4,12,1,1,1,0,0,3,2,0.167,2,2,4,1,0.313,0,0,1-1
"Eli Small, UK",0.273,12-1,11,3,3,1,0,1,3,7,0.636,3,2,5,0,0.471,1,0,0-0
"Matt Ossenfort, VU",0.182,6-3,11,2,2,1,0,1,1,6,0.545,1,0,6,1,0.25,0,0,0-0
"Jack Holubowski, MO",0.091,4-3,11,4,1,0,0,0,0,1,0.091,2,1,6,0,0.286,0,0,0-0
