Player,era,w-l,app-gs,cg,sho,sv,ip,h,r,er,bb,so,2b,3b,hr,ab,b/avg,wp,hbp,bk
"Wyatt Land, UG",6.75,0-0,3-0,0,0/0,0,2.2,2,2,2,4,4,0,0,0,10,0.2,1,0,0
"Xavier Lovett, MO",13.5,0-0,3-0,0,0/0,0,2.2,4,8,4,7,2,0,0,1,11,0.364,0,1,0
"Jake Titus, UK",20.25,0-0,3-0,0,0/1,0,2.2,6,7,6,1,2,2,0,1,14,0.429,0,1,0
"Reilly Witmer, UF",0,0-0,4-0,0,0/0,0,2.1,2,0,0,3,3,0,0,0,9,0.222,0,0,0
"Austin Williamson, SC",11.57,0-0,3-0,0,0/0,0,2.1,6,5,3,1,2,1,0,1,13,0.462,0,3,0
"Drew Nelson, AU",0,0-0,3-0,0,0/0,0,2,2,0,0,2,4,0,0,0,8,0.25,3,0,0
"Gage Haley, MS",0,0-0,1-0,0,0/0,0,2,0,0,0,2,2,0,0,0,6,0,0,2,0
"Ryan Gold, UG",4.5,0-0,2-0,0,0/0,0,2,1,1,1,1,1,1,0,0,6,0.167,1,0,0
"Braden Montgomery, AM",18,0-0,2-1,0,0/0,0,2,1,4,4,4,2,0,0,1,7,0.143,1,0,0
"Jett Johnston, AM",27,0-0,2-0,0,0/0,0,2,5,6,6,2,2,1,0,2,9,0.556,0,1,0
"Tate Mcguire, AR",5.4,0-0,2-0,0,0/0,0,1.2,3,1,1,2,4,1,0,0,8,0.375,0,1,0
"Kade Woods, LS",5.4,0-0,3-0,0,0/1,0,1.2,1,1,1,2,2,0,0,0,5,0.2,0,1,0
"Hudson Calhoun, UM",6.75,0-0,2-0,0,0/0,0,1.1,1,2,1,1,1,1,0,0,4,0.25,0,1,0
"Konner Keplinger, AU",20.25,0-0,2-0,0,0/0,0,1.1,4,6,3,3,0,2,0,0,8,0.5,1,1,0
"Jason Bodin, AM",0,0-0,2-0,0,0/0,0,1,1,2,0,3,1,0,0,0,5,0.2,0,0,0
"Jackson Baker, UA",0,0-0,1-0,0,0/0,0,1,0,0,0,0,1,0,0,0,3,0,1,1,0
"Hunter Dietz, AR",0,0-0,2-0,0,0/0,0,1,1,0,0,2,2,0,0,0,4,0.25,0,1,0
